time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,safety_assessment,fire_proximity,smoke_proximity
0,08:00,0,Isabella Rodriguez,low,0.16000000000000003,safe,9,7
0,08:00,1,Klaus Mueller,low,0.24,safe,11,9
1,08:00,0,Isabella Rodriguez,low,0.16000000000000003,safe,9,7
1,08:00,1,Klaus Mueller,low,0.24,safe,10,8
2,08:01,0,Isabella Rodriguez,low,0.16000000000000003,safe,8,6
2,08:01,1,Klaus Mueller,low,0.24,safe,9,7
3,08:02,0,Isabella Rodriguez,low,0.16000000000000003,safe,7,5
3,08:02,1,Klaus Mueller,low,0.24,safe,7,5
4,08:02,0,Isabella Rodriguez,low,0.16000000000000003,safe,7,5
4,08:02,1,Klaus Mueller,low,0.24,safe,7,5
5,08:03,0,Isabella Rodriguez,low,0.16000000000000003,safe,7,5
5,08:03,1,Klaus Mueller,low,0.24,safe,8,6
6,08:04,0,Isabella Rodriguez,low,0.2,safe,7,5
6,08:04,1,Klaus Mueller,medium,0.3,at_risk,9,7
7,08:04,0,Isabella Rodriguez,low,0.2,safe,7,5
7,08:04,1,Klaus Mueller,medium,0.3,at_risk,10,8
8,08:05,0,Isabella Rodriguez,low,0.2,safe,7,5
8,08:05,1,Klaus Mueller,medium,0.3,at_risk,10,8
9,08:06,0,Isabella Rodriguez,low,0.2,safe,7,5
9,08:06,1,Klaus Mueller,medium,0.3,at_risk,8,6
