"date","userId","taskOrder","historyLength","yearOfBirth","gender","education","dominantHand","drivingSide","sightImpairment","clientWidth","clientHeight","screenWidth","screenHeight","colorDepth","platform","language","browserInfo"
"27/12/2021/21:02:09",67141960,"48_39_21_07_15_22_13_26_35_09_55_40_01_61_52_51_56_16_20_02_47_44_42_04_38_",2,1992,"man","Mgr.","right","right","shortsightedness",1920,1080,1920,1080,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"27/12/2021/21:10:19",26483377,"37_09_01_42_41_02_33_15_18_38_03_48_43_35_16_46_62_06_20_50_24_32_04_30_21_",2,1999,"woman","Bc.","right","right","shortsighted, astigmatism",1536,722,1536,864,24,"Win32","en-GB","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"27/12/2021/21:20:17",18060509,"06_23_17_30_63_09_15_50_57_49_61_26_21_27_22_43_34_60_19_36_32_12_24_10_59_",2,1977,"man","secondary education","right","right",NA,2048,952,2048,1152,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"28/12/2021/00:37:40",66383307,"22_26_04_63_32_36_42_13_09_28_15_40_49_27_19_14_58_52_31_37_02_60_54_24_43_",2,1995,"man","Mgr.","right","right",NA,1280,720,1280,720,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"28/12/2021/10:04:07",43519643,"22_21_52_15_33_25_57_30_59_01_58_31_51_26_48_02_03_16_37_40_09_56_29_41_07_",2,1989,"woman","Bc.","right","left",NA,1072,611,1440,900,30,"MacIntel","en-GB","Mozilla/5.0 (Macintosh Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4606.61 Safari/537.36"
"28/12/2021/11:20:34",1114855,"21_31_46_22_62_40_53_61_14_44_48_01_56_08_52_35_06_45_59_50_02_07_10_23_47_",2,1999,"man","secondary education","right","right",NA,1920,969,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"28/12/2021/11:46:53",1504237,"25_33_15_16_59_61_14_32_42_04_34_49_47_52_54_18_44_48_50_62_13_46_51_41_10_",2,1997,"man","Bc.","right","right","farsightedness",1884,927,1920,1080,24,"Win32","sk-SK","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"28/12/2021/12:16:59",8344720,"59_08_19_32_54_36_14_42_45_39_57_24_25_22_23_13_61_15_11_10_48_29_01_12_33_",2,1990,"woman","Mgr.","right","right",NA,1920,941,1920,1080,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"02/01/2022/20:58:20",85167575,"16_24_58_07_25_48_40_60_01_17_44_43_57_05_51_28_21_12_61_55_32_59_36_39_18_",2,1993,"man","Mgr.","right","right","shortsightedness",1920,961,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"03/01/2022/16:37:28",77299971,"49_14_01_42_08_54_33_29_47_39_60_17_37_58_44_46_53_32_04_56_06_23_18_02_15_",2,1992,"man","Mgr.","right","right","Shortsightedness both eyes",1920,880,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"03/01/2022/16:39:21",34341448,"16_53_45_44_41_17_56_05_32_33_29_18_25_54_15_61_60_35_31_06_20_43_10_02_47_",2,1993,"man","Mgr.","right","right",NA,1920,969,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"03/01/2022/16:56:39",98767502,"06_56_43_58_23_18_25_33_47_45_57_24_12_41_20_42_55_34_46_62_22_30_59_51_04_",2,1986,"man","PhD.","right","right",NA,1536,754,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"03/01/2022/19:51:26",11065958,"48_63_28_15_37_47_62_11_60_21_02_18_29_33_41_31_36_19_39_16_55_54_04_09_26_",2,1994,"man","Mgr.","right","right",NA,1920,1080,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 OPR/82.0.4227.43"
"03/01/2022/22:30:41",63956962,"15_14_03_10_43_54_08_48_22_12_01_06_16_11_53_02_17_52_46_13_44_59_35_39_60_",2,1999,"woman","secondary education","right","right",NA,1280,720,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/07:48:06",62375080,"58_37_57_49_60_38_43_41_36_28_03_34_47_26_16_05_50_48_01_51_45_04_56_55_39_",2,1988,"man","PhD.","right","right","short-sightedness",1920,1039,1920,1200,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
