"taskCount","taskId","userId","time","AOI","X","Y","Z"
0,"L-NL0_R-WS1_in_tr",11017391,"null","null","null","null","null"
0,"27_L-WL0_R-NS0_tr",11017391,"5233","corridor_left","-150","-9,626333658807674","-0,23966514095443436"
0,"09_L-ES0_R-EL1_tr",11017391,"4717","corridor_right","150,00000000000003","-7,587774994019561","-5,720546736882298"
1,"25_L-WM0_R-NM0",11017391,"5253","corridor_left","-150","-17,039071640841538","-15,813208193570958"
2,"56_L-WL0_R-NM1",11017391,"5451","corridor_right","150,00000000000003","-15,129816802531387","-19,671944112206845"
3,"54_L-NS0_R-WM1",11017391,"5378","corridor_right","149,99999999999997","-14,535834446114205","-13,462141407361614"
4,"19_L-NM0_R-WL0",11017391,"5950","corridor_right","149,99999999999997","-13,552455472377861","-0,00223685849103461"
5,"53_L-NM1_R-WS0",11017391,"4994","corridor_left","-150","-12,725074841824764","-13,278271711710886"
6,"49_L-NM0_R-WM1",11017391,"5773","corridor_right","150","-11,807573235002543","-8,86588822174594"
7,"35_L-WS1_R-NL0",11017391,"5521","corridor_left","-150,00000000000003","-18,02926438767577","-5,223887621953157"
8,"45_L-ES1_R-EM0",11017391,"5550","corridor_left","-150,00000000000003","-6,222379208826965","-4,654074839210239"
9,"40_L-EM0_R-ES1",11017391,"5555","corridor_right","150,00000000000003","-22,035868789426335","-29,813039824875617"
10,"61_L-WM1_R-NL0",11017391,"5952","corridor_left","-150","-17,010418301103616","22,29705671061661"
11,"62_L-WM1_R-NM0",11017391,"5884","corridor_left","-150","-2,0258954582760254","3,652318932056575"
12,"34_L-WS0_R-NM0",11017391,"5883","corridor_left","-150","-18,190733432653545","8,88338280288211"
13,"44_L-ES0_R-EM1",11017391,"5786","corridor_right","150,00000000000003","-9,874134685650532","-11,652712280138985"
14,"13_L-WS0_R-NM1",11017391,"5816","corridor_right","150,00000000000003","-9,419456651188554","-8,596191579990233"
15,"07_L-EM0_R-ES0",11017391,"6183","corridor_right","150,00000000000003","-25,84371971229513","-17,498856083841005"
16,"05_L-EM0_R-EL0",11017391,"4319","corridor_left","-150,00000000000003","-13,747255459509596","-7,255012783972447"
17,"50_L-NM0_R-WS1",11017391,"6034","corridor_right","150","-16,984129907581554","3,7515581688263824"
18,"09_L-ES0_R-EL1",11017391,"5983","corridor_right","150,00000000000003","-10,330106176201788","-13,63581315143388"
19,"47_L-NL1_R-WM0",11017391,"4988","corridor_right","150,00000000000003","-6,422364773811701","13,40084738272913"
20,"31_L-WM0_R-NS0",11017391,"5585","corridor_left","-150","-10,411747697576295","9,347188954601826"
0,"L-NL0_R-WS1_in_tr",11065958,"2326","corridor_right","150","-20409003436629692","-11551229507576622"
0,"27_L-WL0_R-NS0_tr",11065958,"4560","corridor_left","-150","-10349517640267344","7537928544334075"
0,"09_L-ES0_R-EL1_tr",11065958,"3923","corridor_right","150","-12897842531556408","-2479373825206082"
1,"48_L-NM0_R-WL1",11065958,"4649","corridor_right","1.5e+16","-1858985125672973","14153839516522774"
2,"63_L-WM1_R-NS0",11065958,"5505","corridor_left","-150","-19632487650312956","-7671661607003674"
3,"28_L-WL0_R-NS1",11065958,"1808","corridor_left","-1.5e+16","7255102837184296","-27548797626121644"
4,"15_L-NL0_R-WM0",11065958,"4881","corridor_right","150","-2208157569993645","1172087357089078"
5,"37_L-EL1_R-EM0",11065958,"5034","corridor_left","-1.5e+16","37721113679020632","-7847446088644162"
6,"47_L-NL1_R-WM0",11065958,"4779","corridor_left","-1.5e+16","-12725475695611806","-28043980637450688"
7,"62_L-WM1_R-NM0",11065958,"5366","corridor_left","-1.5e+16","-10344248061711240","13083829672239034"
8,"11_L-ES1_R-EL0",11065958,"5751","corridor_left","-1.5e+16","-9055360207177928","-50660520433432768"
9,"60_L-WM0_R-NS1",11065958,"5711","corridor_left","-1.5e+16","-21759951463102608","2269299428995869"
10,"21_L-NS0_R-WL0",11065958,"4702","corridor_right","150","6877626012635332","-8257541978279423"
11,"02_L-EL0_R-ES0",11065958,"1726","corridor_right","1.5e+16","-4501184754778812","-12065119735783056"
12,"18_L-NL1_R-WS0",11065958,"2741","corridor_right","150","-7296136144036495","-34760359560660104"
13,"29_L-WL1_R-NS0",11065958,"5859","corridor_left","-150","22977128679059008","4940235141694294"
14,"33_L-WS0_R-NL1",11065958,"5756","corridor_left","-150","-24980775862599036","-6609274686106836"
15,"41_L-EM1_R-EL0",11065958,"4514","corridor_left","-1.5e+16","-1452603531566421","-15204310118989426"
16,"31_L-WM0_R-NS0",11065958,"5826","corridor_left","-1.5e+16","-15705284479995072","-5167378246380956"
17,"36_L-EL0_R-EM1",11065958,"5095","corridor_right","1.5e+16","-10171645922002334","-8617535674999829"
18,"19_L-NM0_R-WL0",11065958,"5282","corridor_right","150","3698966743023689","39951307570496800"
19,"39_L-EE0_R-EE1",11065958,"5157","corridor_right","1.5e+16","-4871256215206117","2605096226304383"
20,"16_L-NL0_R-WS0",11065958,"5206","corridor_right","150","6167512507591951","4316719845933248"
0,"L-NL0_R-WS1_in_tr",1114855,"236","corridor_left","-150","-5916806836753807","-31297124498182868"
0,"27_L-WL0_R-NS0_tr",1114855,"1694","corridor_left","-150","-9905070621121226","8987661099093764"
0,"09_L-ES0_R-EL1_tr",1114855,"3398","corridor_right","150","-1208107095999729","15791400001858876"
1,"21_L-NS0_R-WL0",1114855,"3248","corridor_right","150","-4968863028998015","14030149620833612"
2,"31_L-WM0_R-NS0",1114855,"3170","corridor_left","-150","-9830426394971048","14357299045113124"
3,"46_L-NL0_R-WM1",1114855,"3673","corridor_right","150","-11588889297888372","16383768848878284"
4,"22_L-NS0_R-WL1",1114855,"5714","corridor_right","150","-61388194569542880","1874302294714466"
5,"62_L-WM1_R-NM0",1114855,"4644","corridor_left","-150","-8771138713128508","16252149215072984"
6,"40_L-EM0_R-ES1",1114855,"3940","corridor_right","1.5e+16","-13666993847973018","-3900702536598118"
7,"53_L-NM1_R-WS0",1114855,"1752","corridor_left","-1.5e+16","-5138950650103553","-5339664708358953"
8,"61_L-WM1_R-NL0",1114855,"5698","corridor_left","-150","-7082508686811437","10880297664336200"
9,"14_L-WS1_R-NM0",1114855,"5081","corridor_left","-150","-5413869596090365","26156005353136636"
10,"44_L-ES0_R-EM1",1114855,"2770","corridor_right","1.5e+16","-6593271973992245","-11241774169416516"
11,"48_L-NM0_R-WL1",1114855,"5586","corridor_right","150","1278688295335111","19187117934222596"
12,"01_L-EL0_R-EM0",1114855,"2549","corridor_left","-1.5e+16","3370809718293849","-1504525785185146"
13,"56_L-WL0_R-NM1",1114855,"2367","corridor_right","1.5e+16","-9257590578998672","-7637407824778734"
14,"08_L-ES0_R-EL0",1114855,"1421","corridor_left","-1.5e+16","-8488639637055336","-16593814036380422"
15,"52_L-NM1_R-WM0",1114855,"750","corridor_right","150","19883883237232424","2657227576572847"
16,"35_L-WS1_R-NL0",1114855,"5567","corridor_left","-150","12528624128092480","5196411904061646"
17,"06_L-EM0_R-EM0",1114855,"5154","corridor_left","-1.5e+16","23745321159241756","6540112683935803"
18,"45_L-ES1_R-EM0",1114855,"3124","corridor_left","-1.5e+16","-12824410057004960","-9496470312152140"
19,"59_L-WM0_R-NM1",1114855,"6391","corridor_left","-150","-213516010393176","14270888819394600"
20,"50_L-NM0_R-WS1",1114855,"6387","corridor_right","150","-8053438113498359","3606708345097776"
0,"L-NL0_R-WS1_in_tr",11519326,"null","null","null","null","null"
0,"27_L-WL0_R-NS0_tr",11519326,"4049","corridor_left","-150","-34,20285728080477","44,47076091341701"
0,"09_L-ES0_R-EL1_tr",11519326,"3621","corridor_left","-150","-27,507298275742407","-21,426752785137978"
1,"05_L-EM0_R-EL0",11519326,"3723","corridor_left","-150","-32,22285805283701","-15,754861269025199"
2,"41_L-EM1_R-EL0",11519326,"2958","corridor_left","-150,00000000000003","-57,20335252893264","-19,638925749224114"
3,"51_L-NM1_R-WL0",11519326,"3671","corridor_left","-150,00000000000003","-6,221832106834995","-19,168426257189452"
4,"22_L-NS0_R-WL1",11519326,"3637","corridor_left","-150,00000000000003","-30,392390792508735","-29,11060779888993"
5,"18_L-NL1_R-WS0",11519326,"2808","corridor_right","150","-32,625213808327466","-2,4286577959426108"
6,"35_L-WS1_R-NL0",11519326,"4636","corridor_left","-150,00000000000003","-33,17184942695309","-14,782676070762829"
7,"28_L-WL0_R-NS1",11519326,"4037","corridor_right","150,00000000000003","-34,949388187116746","-12,112150741383516"
8,"34_L-WS0_R-NM0",11519326,"4807","corridor_left","-150","-29,132157857052736","-0,9732234763019019"
9,"37_L-EL1_R-EM0",11519326,"2639","corridor_left","-150,00000000000003","-30,849161215467028","-27,847135850076157"
10,"44_L-ES0_R-EM1",11519326,"3005","corridor_right","150","-27,171768778336848","-6,907663565897963"
11,"58_L-WM0_R-NL1",11519326,"1107","corridor_right","150,00000000000003","-30,092216686188703","-18,13857990942033"
12,"03_L-EL0_R-ES1",11519326,"5253","corridor_right","150,00000000000003","-36,43051878743587","-33,00692357045628"
13,"01_L-EL0_R-EM0",11519326,"4986","corridor_right","150,00000000000003","-19,88477116295741","-20,265898276379204"
14,"16_L-NL0_R-WS0",11519326,"3485","corridor_right","150","-18,077228317305288","-39,3497029091153"
15,"39_L-EE0_R-EE1",11519326,"4370","corridor_right","150,00000000000003","-29,738039774301548","-21,5515376344176"
