time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,safety_assessment,fire_proximity,smoke_proximity,visibility_impact,time_since_awareness,primary_factors
0,08:00,0,Isabello Rodriguez,low,0.2,safe,4,,slightly_reduced,,close_to_fire
0,08:00,1,Klaus Mueller,medium,0.3,at_risk,4,,slightly_reduced,,close_to_fire
1,08:00,0,Isabello Rodriguez,medium,0.3600000000000001,at_risk,4,3,slightly_reduced,,"close_to_fire, smoke_nearby, multiple_fire_sources"
1,08:00,1,Klaus Mueller,medium,0.42,at_risk,5,3,slightly_reduced,,"smoke_nearby, multiple_fire_sources"
2,08:01,0,Isabello Rodriguez,medium,0.5599999999999999,at_risk,2,1,reduced,0,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
2,08:01,1,Klaus Mueller,high,0.6,in_danger,4,2,slightly_reduced,0,"close_to_fire, surrounded_by_smoke, multiple_fire_sources"
3,08:02,0,Isabello Rodriguez,medium,0.5599999999999999,at_risk,2,1,reduced,1,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
3,08:02,1,Klaus Mueller,high,0.6,in_danger,3,2,slightly_reduced,1,"close_to_fire, surrounded_by_smoke, multiple_fire_sources"
4,08:02,0,Isabello Rodriguez,medium,0.48,at_risk,3,1,reduced,2,"close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
4,08:02,1,Klaus Mueller,high,0.7799999999999999,in_danger,2,2,reduced,2,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
5,08:03,0,Isabello Rodriguez,medium,0.4,at_risk,4,2,slightly_reduced,3,"close_to_fire, surrounded_by_smoke, multiple_fire_sources"
5,08:03,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,3,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
6,08:04,0,Isabello Rodriguez,medium,0.52,at_risk,3,1,reduced,4,"close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
6,08:04,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,4,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
7,08:04,0,Isabello Rodriguez,high,0.6000000000000001,in_danger,2,1,reduced,5,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
7,08:04,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,5,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
8,08:05,0,Isabello Rodriguez,medium,0.44000000000000006,at_risk,3,2,slightly_reduced,6,"close_to_fire, surrounded_by_smoke, multiple_fire_sources"
8,08:05,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,6,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
9,08:06,0,Isabello Rodriguez,high,0.6000000000000001,in_danger,2,1,reduced,7,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
9,08:06,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,7,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
10,08:06,0,Isabello Rodriguez,medium,0.44000000000000006,at_risk,3,2,slightly_reduced,8,"close_to_fire, surrounded_by_smoke, multiple_fire_sources"
10,08:06,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,8,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
11,08:07,0,Isabello Rodriguez,medium,0.5599999999999999,at_risk,3,1,reduced,9,"close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
11,08:07,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,9,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
12,08:08,0,Isabello Rodriguez,medium,0.48,at_risk,3,2,slightly_reduced,10,"close_to_fire, surrounded_by_smoke, multiple_fire_sources"
12,08:08,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,10,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
13,08:08,0,Isabello Rodriguez,high,0.64,in_danger,2,0,reduced,11,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
13,08:08,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,11,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
14,08:09,0,Isabello Rodriguez,high,0.64,in_danger,2,0,reduced,12,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
14,08:09,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,12,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
15,08:10,0,Isabello Rodriguez,high,0.64,in_danger,2,0,reduced,13,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
15,08:10,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,13,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
16,08:10,0,Isabello Rodriguez,high,0.7600000000000001,in_danger,1,0,severely_reduced,14,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
16,08:10,1,Klaus Mueller,critical,1.0,critical_danger,1,0,severely_reduced,14,"very_close_to_fire, surrounded_by_smoke, poor_visibility, multiple_fire_sources"
